step,timestamp,x,y,z,rx,ry,rz,color_path,depth_path,ir1_off_path,ir2_off_path,ir1_on_path,ir2_on_path,T_base_camera
1,20251210_095623_512429,616.0,-170.0,540.0,-178.0,0.0,-92.0,record_rotation_collection/20251210_095618/01_color.jpg,record_rotation_collection/20251210_095618/01_depth.png,record_rotation_collection/20251210_095618/01_ir1_off.png,record_rotation_collection/20251210_095618/01_ir2_off.png,record_rotation_collection/20251210_095618/01_ir1_on.png,record_rotation_collection/20251210_095618/01_ir2_on.png,"[[-0.04103015327360309, -0.9885474747779823, -0.14522540458756317, 0.6828851956873078], [-0.9991251683582301, 0.039416510809666606, 0.013972515207262566, -0.13956415897433141], [-0.008088217181011482, 0.1456716479277827, -0.9892999290202102, 0.4674685033808921], [0.0, 0.0, 0.0, 1.0]]"
2,20251210_095629_293407,594.668,-105.635,540.0,-178.0,-1.839,-92.0,record_rotation_collection/20251210_095618/02_color.jpg,record_rotation_collection/20251210_095618/02_depth.png,record_rotation_collection/20251210_095618/02_ir1_off.png,record_rotation_collection/20251210_095618/02_ir2_off.png,record_rotation_collection/20251210_095618/02_ir1_on.png,record_rotation_collection/20251210_095618/02_ir2_on.png,"[[-0.041021237655550276, -0.9883844158627959, -0.14633354384349762, 0.6614713743810331], [-0.998869858461496, 0.04408590720498075, -0.017760441198418332, -0.07754221462475064], [0.024005388978350244, 0.14543960770644107, -0.9890758613740771, 0.46645482745927785], [0.0, 0.0, 0.0, 1.0]]"
3,20251210_095635_073568,573.335,-41.27,540.0,-178.0,-3.678,-92.0,record_rotation_collection/20251210_095618/03_color.jpg,record_rotation_collection/20251210_095618/03_depth.png,record_rotation_collection/20251210_095618/03_ir1_off.png,record_rotation_collection/20251210_095618/03_ir2_off.png,record_rotation_collection/20251210_095618/03_ir1_on.png,record_rotation_collection/20251210_095618/03_ir2_on.png,"[[-0.040976382976811866, -0.9882217008078696, -0.14744086140282583, 0.6400554599374042], [-0.9975853885202192, 0.048745456730791704, -0.049469867291960457, -0.015551573633322026], [0.05607426709984974, 0.14505774962006596, -0.987832943111911, 0.46551691068544554], [0.0, 0.0, 0.0, 1.0]]"
4,20251210_095640_852301,544.313,18.268,540.0,-177.162,-5.698,-92.0,record_rotation_collection/20251210_095618/04_color.jpg,record_rotation_collection/20251210_095618/04_depth.png,record_rotation_collection/20251210_095618/04_ir1_off.png,record_rotation_collection/20251210_095618/04_ir2_off.png,record_rotation_collection/20251210_095618/04_ir1_on.png,record_rotation_collection/20251210_095618/04_ir2_on.png,"[[-0.04076718187786003, -0.990117206064387, -0.13418627560997612, 0.6119977070920486], [-0.9950029888371307, 0.052479971890112664, -0.08494056494360548, 0.04140466808452885], [0.09114320527937626, 0.130052954714589, -0.9873090411533849, 0.46554019313289347], [0.0, 0.0, 0.0, 1.0]]"
5,20251210_095646_668305,495.626,65.464,540.0,-174.181,-8.182,-92.0,record_rotation_collection/20251210_095618/05_color.jpg,record_rotation_collection/20251210_095618/05_depth.png,record_rotation_collection/20251210_095618/05_ir1_off.png,record_rotation_collection/20251210_095618/05_ir2_off.png,record_rotation_collection/20251210_095618/05_ir1_on.png,record_rotation_collection/20251210_095618/05_ir2_on.png,"[[-0.040165039500476625, -0.9956555810503914, -0.08400437238767813, 0.5668438881093069], [-0.990178132959682, 0.05092961951860292, -0.1302053526640224, 0.08573300004156187], [0.13391799502713445, 0.07794958629285871, -0.987921975884544, 0.4680419019606389], [0.0, 0.0, 0.0, 1.0]]"
6,20251210_095652_500307,447.346,86.933,540.0,-172.0,-9.312,-92.0,record_rotation_collection/20251210_095618/06_color.jpg,record_rotation_collection/20251210_095618/06_depth.png,record_rotation_collection/20251210_095618/06_ir1_off.png,record_rotation_collection/20251210_095618/06_ir2_off.png,record_rotation_collection/20251210_095618/06_ir1_on.png,record_rotation_collection/20251210_095618/06_ir2_on.png,"[[-0.03974078489670156, -0.9981168436319551, -0.046727264486853576, 0.5210644586709414], [-0.9873909215694624, 0.046399152215385514, -0.15134821368320722, 0.10613247677520662], [0.15323130489454823, 0.04012337668002061, -0.987375450295737, 0.4703023905315548], [0.0, 0.0, 0.0, 1.0]]"
7,20251210_095658_280295,400.174,38.223,540.0,-172.0,-6.749,-92.0,record_rotation_collection/20251210_095618/07_color.jpg,record_rotation_collection/20251210_095618/07_depth.png,record_rotation_collection/20251210_095618/07_ir1_off.png,record_rotation_collection/20251210_095618/07_ir2_off.png,record_rotation_collection/20251210_095618/07_ir1_on.png,record_rotation_collection/20251210_095618/07_ir2_on.png,"[[-0.03994542372032774, -0.9981798642040924, -0.045180998029419134, 0.47400047124322664], [-0.9932510107543396, 0.04459447914962987, -0.10706893576523681, 0.06051555215290666], [0.10888887703053282, 0.040599154562664136, -0.9932245059851255, 0.47134519619749937], [0.0, 0.0, 0.0, 1.0]]"
8,20251210_095704_105963,361.968,-15.698,540.0,-171.763,-4.645,-92.0,record_rotation_collection/20251210_095618/08_color.jpg,record_rotation_collection/20251210_095618/08_depth.png,record_rotation_collection/20251210_095618/08_ir1_off.png,record_rotation_collection/20251210_095618/08_ir2_off.png,record_rotation_collection/20251210_095618/08_ir1_on.png,record_rotation_collection/20251210_095618/08_ir2_on.png,"[[-0.04002566528278713, -0.9984066484606884, -0.03977576082179912, 0.43615185359031183], [-0.9965795331991141, 0.04276947432069069, -0.07071068440854436, 0.009111912392911859], [0.07229920406885833, 0.036809463459237496, -0.996703509996706, 0.4726055496615329], [0.0, 0.0, 0.0, 1.0]]"
9,20251210_095709_880288,342.996,-80.798,540.0,-171.019,-3.529,-92.0,record_rotation_collection/20251210_095618/09_color.jpg,record_rotation_collection/20251210_095618/09_depth.png,record_rotation_collection/20251210_095618/09_ir1_off.png,record_rotation_collection/20251210_095618/09_ir2_off.png,record_rotation_collection/20251210_095618/09_ir1_on.png,record_rotation_collection/20251210_095618/09_ir2_on.png,"[[-0.03995492006353942, -0.9988598142230752, -0.026128078935632904, 0.4180642900198023], [-0.9978058341081762, 0.04126705590382364, -0.05177395360333154, -0.05465181499776801], [0.05279314883663381, 0.02400212181462813, -0.9983169737601605, 0.4741067782984562], [0.0, 0.0, 0.0, 1.0]]"
10,20251210_095715_628296,324.024,-145.898,540.0,-170.275,-2.413,-92.0,record_rotation_collection/20251210_095618/10_color.jpg,record_rotation_collection/20251210_095618/10_depth.png,record_rotation_collection/20251210_095618/10_ir1_off.png,record_rotation_collection/20251210_095618/10_ir2_off.png,record_rotation_collection/20251210_095618/10_ir1_on.png,record_rotation_collection/20251210_095618/10_ir2_on.png,"[[-0.039869999595004625, -0.9991270002657551, -0.012474813927349698, 0.3999625748331364], [-0.9986508862661527, 0.04026046408336146, -0.032794772250798285, -0.11846273431910767], [0.033268382494588425, 0.011150452729645904, -0.9993842508308444, 0.47564608114335316], [0.0, 0.0, 0.0, 1.0]]"
